Country,Year,Continent,Life Expectancy,CO2 Emissions,Health Expenditure %,Adult Mortality,Infant Deaths
Afghanistan,2015,Asia,63.38,5949.999809,10.10534763,263,62
Albania,2015,Europe,78.03,4619.999886,4.89631176,74,0
Algeria,2015,Africa,76.09,156270.0043,6.9784894,19,21
Angola,2015,Africa,59.4,31649.99962,2.60579491,335,66
Antigua and Barbuda,2015,North America,76.48,490.0000095,5.27965546,13,0
Argentina,2015,South America,76.07,185550.0031,10.22933865,116,8
Armenia,2015,Asia,74.47,5340.000153,10.11763382,118,1
Australia,2015,Oceania,82.4,377799.9878,9.32758904,59,1
Austria,2015,Europe,81.19,63240.00168,10.36746693,65,0
Azerbaijan,2015,Asia,72.27,31770.00046,4.10663605,118,5
Bahrain,2015,Asia,76.76,30579.99992,4.9869976,69,0
Bangladesh,2015,Asia,71.51,72190.00244,2.63947296,129,92
Belarus,2015,Europe,73.62,54819.99969,6.06533337,196,0
Belgium,2015,Europe,80.99,95129.99725,10.43065357,74,0
Belize,2015,North America,74.03,680.0000072,5.9350915,175,0
Benin,2015,Africa,60.61,5510.000229,2.90741682,249,25
Bhutan,2015,Asia,70.42,769.9999809,3.75701189,211,0
Bolivia,2015,South America,70.28,20760.00023,6.55064964,186,8
Bosnia and Herzegovina,2015,Europe,76.87,19620.00084,9.35174561,88,0
Botswana,2015,Africa,67.34,6949.999809,5.72629929,256,2
Brazil,2015,South America,74.99,485339.9963,8.90929508,142,42
Bulgaria,2015,Europe,74.61,44560.00137,7.41093588,137,0
Burkina Faso,2015,Africa,59.92,3700.000048,5.13192463,26,38
Burundi,2015,Africa,60.12,400.000006,6.42882729,288,21
Côte d'Ivoire,2015,Africa,56.07,9810.00042,3.21990895,397,57
Cameroon,2015,Africa,57.58,8460.000038,3.74879193,357,45
Canada,2015,North America,81.9,558700.0122,10.73320484,64,2
Central African Rep.,2015,Africa,50.88,189.9999976,5.0343523,397,15
Chad,2015,Africa,53.14,2390.000105,4.52395439,356,46
Chile,2015,South America,79.65,82230.00336,8.30269146,82,2
China,2015,Asia,75.93,9861099.609,4.93827963,85,157
Colombia,2015,South America,76.53,80230.00336,7.52338552,143,10
Comoros,2015,Africa,63.47,189.9999976,4.60089922,227,1
Costa Rica,2015,North America,79.57,7539.999962,7.59196186,95,1
Croatia,2015,Europe,77.28,16600.00038,6.78702879,95,0
Cuba,2015,North America,78.56,29209.99908,12.81401348,92,1
Cyprus,2015,Europe,80.35,6849.999905,6.75352287,52,0
Denmark,2015,Europe,80.7,33700.00076,10.22716618,71,0
Dominican Republic,2015,North America,73.24,23590.00015,5.78463221,152,6
El Salvador,2015,North America,72.41,7000,7.63034058,178,2
Equatorial Guinea,2015,Africa,57.36,6570.000172,2.91533303,32,3
Eritrea,2015,Africa,64.66,649.9999762,4.45335484,255,5
Estonia,2015,Europe,77.59,15539.99996,6.34629202,119,0
Ethiopia,2015,Africa,65.05,12890.00034,3.82317114,225,136
Fiji,2015,Oceania,67.1,1379.999995,3.32468939,188,0
Finland,2015,Europe,81.48,42819.99969,9.64523888,76,0
France,2015,Europe,82.32,311299.9878,11.4475565,78,2
Gabon,2015,Africa,64.91,6119.999886,2.6574378,229,2
Georgia,2015,Europe,72.97,9199.999809,7.42301512,129,1
Germany,2015,Europe,80.64,742309.9976,11.18370342,68,2
Ghana,2015,Africa,62.77,15779.99973,4.62171459,249,37
Greece,2015,Europe,81.04,68010.00214,8.06892395,72,0
Grenada,2015,North America,72.45,270.0000107,4.64675617,142,0
Guatemala,2015,North America,73.25,16340.00015,6.00602055,186,10
Guinea,2015,Africa,59.6,2539.999962,5.80920601,284,26
Guinea-Bissau,2015,Africa,56.96,280.0000012,8.13228226,275,4
Guyana,2015,South America,69.26,2079.999924,4.02264786,215,0
Haiti,2015,North America,62.49,3279.999971,5.06690121,24,14
Honduras,2015,North America,74.5,9930.000305,7.48378992,147,3
Hungary,2015,Europe,75.57,43380.00107,6.85949564,134,0
Iceland,2015,Europe,82.47,2059.999943,8.06978989,49,0
India,2015,Asia,68.61,2158020.02,3.59565997,181,910
Indonesia,2015,Asia,70.77,488549.9878,2.92428517,176,114
Ireland,2015,Europe,81.45,37060.00137,7.31605005,64,0
Israel,2015,Africa,82.05,66139.99939,7.09919786,58,0
Italy,2015,Europe,82.54,337859.9854,8.85689163,56,1
Jamaica,2015,North America,74.1,7090.000153,5.62469387,125,1
Japan,2015,Asia,83.79,1179439.941,10.74969959,55,2
Jordan,2015,Asia,74.08,25309.99947,7.4609561,112,4
Kazakhstan,2015,Asia,71.97,190729.9957,3.04051137,198,4
Kenya,2015,Africa,64.8,17209.99908,5.21938562,249,54
Kiribati,2015,Oceania,67.29,59.99999866,7.98818541,198,0
Kuwait,2015,Africa,75.13,89019.99664,4.21497965,81,0
Latvia,2015,Europe,74.48,7320.000172,5.65469503,153,0
Lebanon,2015,Asia,78.77,27010.00023,7.41442871,98,1
Lesotho,2015,Africa,51.04,649.9999762,8.99539375,484,4
Liberia,2015,Africa,62.27,1259.99999,10.63758373,259,8
Lithuania,2015,Europe,74.32,11069.99969,6.49043989,165,0
Luxembourg,2015,Europe,82.29,9130.000114,5.28378248,63,0
Madagascar,2015,Africa,65.54,3279.999971,4.97224474,22,28
Malawi,2015,Africa,61.95,930.0000072,9.33334064,365,26
Malaysia,2015,Asia,75.46,236539.9933,3.81819606,123,4
Maldives,2015,Asia,77.69,1370.000005,8.6903019,61,0
Mali,2015,Africa,57.51,3650.000095,4.11143351,266,52
Malta,2015,Europe,81.9,1659.999967,8.89759541,54,0
Mauritania,2015,Africa,63.94,3559.999943,3.67363763,25,8
Mexico,2015,North America,74.9,471630.0049,5.72277403,122,30
Mongolia,2015,Asia,69.11,17299.99924,4.23834085,222,1
Montenegro,2015,Europe,76.45,2359.999895,9.02188778,16,0
Mozambique,2015,Africa,57.21,5519.999981,6.7166338,355,60
Myanmar,2015,Asia,65.81,19040.00092,5.47780514,199,39
Namibia,2015,Africa,62.12,4199.999809,9.98109627,248,2
Nepal,2015,Asia,69.52,7190.000057,5.46615076,165,17
Netherlands,2015,Europe,81.51,157410.0037,10.32393837,57,1
New Zealand,2015,Oceania,81.46,32279.99878,9.28344345,66,0
Nicaragua,2015,North America,73.65,5269.999981,7.96303225,145,2
Niger,2015,Africa,60.63,2109.999895,5.34746218,22,49
Nigeria,2015,Africa,53.11,107760.0021,3.58194971,344,483
Norway,2015,Europe,82.3,39490.00168,10.13146877,59,0
Oman,2015,Asia,76.89,70129.99725,4.3044014,99,1
Pakistan,2015,Asia,66.58,164130.0049,2.68711925,161,352
Panama,2015,North America,77.78,10699.99981,6.8090291,118,1
Papua New Guinea,2015,Oceania,63.47,6510.000229,1.81881714,275,10
Paraguay,2015,South America,73.66,6369.999886,6.70042467,146,2
Peru,2015,South America,75.79,54549.99924,4.97963047,123,8
Philippines,2015,Asia,70.64,111010.0021,3.89827442,211,52
